2023-04-12 07:52:46 status unpacked gpg-agent:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpg-agent:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpg-agent:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gpgsm:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gpgsm:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpgsm:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpgsm:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure dirmngr:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked dirmngr:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured dirmngr:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed dirmngr:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gpg-wks-server:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpg-wks-server:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gpg-wks-client:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpg-wks-client:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gnupg:all 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gnupg:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gnupg:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gnupg:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 trigproc libc-bin:amd64 2.28-10+deb10u2 <none>
2023-04-12 07:52:46 status half-configured libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:46 status installed libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:57 startup archives unpack
2023-04-12 07:52:57 install perl-modules-5.28:all <none> 5.28.1-6+deb10u1
2023-04-12 07:52:57 status half-installed perl-modules-5.28:all 5.28.1-6+deb10u1
2023-04-12 07:52:57 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2023-04-12 07:52:57 install libgdbm6:amd64 <none> 1.18.1-4
2023-04-12 07:52:57 status triggers-pending libc-bin:amd64 2.28-10+deb10u2
2023-04-12 07:52:57 status half-installed libgdbm6:amd64 1.18.1-4
2023-04-12 07:52:57 status unpacked libgdbm6:amd64 1.18.1-4
2023-04-12 07:52:57 install libgdbm-compat4:amd64 <none> 1.18.1-4
2023-04-12 07:52:57 status half-installed libgdbm-compat4:amd64 1.18.1-4
2023-04-12 07:52:57 status unpacked libgdbm-compat4:amd64 1.18.1-4
